from,to,cost
4,1,3160.35307665183
1,4,3160.35307665183
4,2,2394.4540731973657
2,4,2394.4540731973657
4,3,2372.534739094887
3,4,2372.534739094887
4,5,2051.3462104498276
5,4,2051.3462104498276
4,6,1844.9444090462093
6,4,1844.9444090462093
1,2,1085.869540980294
2,1,1085.869540980294
1,3,2129.7490997151226
3,1,2129.7490997151226
1,5,1572.519440432248
5,1,1572.519440432248
1,6,2841.3848714645032
6,1,2841.3848714645032
2,3,2327.3589840553022
3,2,2327.3589840553022
2,5,1603.1269224148098
5,2,1603.1269224148098
2,6,1757.0042135132649
6,2,1757.0042135132649
3,5,729.2955934162069
5,3,729.2955934162069
3,6,3366.325678389807
6,3,3366.325678389807
5,6,2714.5467526178013
6,5,2714.5467526178013
4,4,0.0
1,1,0.0
2,2,0.0
3,3,0.0
5,5,0.0
6,6,0.0
